Run,Sample,P,d636,d628
2022-10-19,A1,5.002708,0.004630,0.002535
2022-10-19,A2,5.001807,-0.003689,-0.003653
2022-10-19,B1,5.013623,27.529582,16.144371
2022-10-19,B2,5.010532,27.524435,16.137483
2022-10-19,A1,5.003711,-0.005341,-0.002029
2022-10-19,A2,5.002740,0.009201,0.006538
2022-10-19,B1,5.013883,27.531363,16.147088
2022-10-19,B2,5.009816,27.528366,16.143024
2022-10-19,A1,5.001163,0.009804,0.008260
2022-10-19,A2,5.001084,-0.002665,-0.002067
2022-10-19,B1,5.012431,27.525544,16.142341
2022-10-19,B2,5.010103,27.526566,16.141278
2022-10-19,A1,5.002922,-0.007974,-0.008914
2022-10-19,A2,5.003393,0.003373,0.002389
2022-10-19,B1,5.011007,27.531118,16.144770
2022-10-19,B2,5.013049,27.520068,16.140163
2022-10-19,A1,5.003468,0.003146,0.004054
2022-10-19,A2,5.001342,0.005285,0.004130
2022-10-19,B1,5.008983,27.523893,16.135706