UID,Sample,Session,P,d636,d628,d627,d18O_VSMOW,D17O_VSMOW,d18O_residual,D17O_residual
2022-10-13-01,MIX_NH,2022-10,4.9974,27.5310,15.7488,8.2197,24.3010,-0.1529,-0.2470,0.0036
2022-10-13-02,HAWAI,2022-10,4.9957,27.5402,33.4054,17.4168,42.0119,-0.1403,0.0743,-0.0034
2022-10-13-03,NEEM,2022-10,4.9962,27.6021,-1.1677,-0.5987,7.3325,-0.1016,0.1654,-0.0009
2022-10-13-04,OC4,2022-10,4.9960,27.6673,-22.9213,-12.1406,-14.4880,-0.1328,0.0205,-0.0013
2022-10-13-05,MIX_ONH,2022-10,4.9987,27.5359,11.1472,5.7724,19.6853,-0.1941,0.4118,0.0012
2022-10-13-06,MIX_OH,2022-10,4.9963,27.5805,5.4226,2.7396,13.9431,-0.2267,0.1693,0.0052
2022-10-13-07,NEEM,2022-10,4.9967,27.2431,-1.9390,-1.0039,6.5588,-0.1007,-0.6083,0.0001
2022-10-13-08,MIX_ONH,2022-10,4.9955,27.5586,10.8460,5.6089,19.3831,-0.1999,0.1097,-0.0046
2022-10-13-10,MIX_NH,2022-10,4.9993,27.5400,15.7530,8.2158,24.3052,-0.1590,-0.2427,-0.0024
2022-10-13-11,MIX_OH,2022-10,4.9956,27.6160,5.0320,2.5257,13.5513,-0.2356,-0.2225,-0.0038
2022-10-13-12,OC4,2022-10,4.9959,27.6363,-22.9428,-12.1489,-14.5095,-0.1297,-0.0011,0.0018
2022-10-18-13,OC4,2022-10,4.9952,27.6366,-22.9495,-12.1441,-14.5162,-0.1213,-0.0078,0.0102
2022-10-18-14,HAWAI,2022-10,4.9959,27.5233,33.2265,17.3249,41.8324,-0.1395,-0.1052,-0.0026
2022-10-18-15,NEEM,2022-10,4.9960,27.5975,-1.2133,-0.6229,7.2867,-0.1018,0.1196,-0.0010
2022-10-18-16,MIX_OH,2022-10,4.9972,27.6109,5.3451,2.6956,13.8653,-0.2300,0.0916,0.0018
2022-10-18-17,MIX_ONH,2022-10,4.9975,27.5771,10.5171,5.4461,19.0532,-0.1906,-0.2203,0.0047
2022-10-18-18,MIX_NH,2022-10,4.9988,27.5319,16.2716,8.4901,24.8254,-0.1556,0.2774,0.0010
2022-10-18-19,HAWAI,2022-10,4.9977,27.4890,33.2526,17.3361,41.8586,-0.1418,-0.0790,-0.0049
2022-10-18-20,MIX_OH,2022-10,4.9957,27.5933,5.6494,2.8494,14.1706,-0.2359,0.3968,-0.0040
2022-10-18-21,OC4,2022-10,4.9984,27.6418,-22.9023,-12.1353,-14.4689,-0.1378,0.0396,-0.0062
2022-10-18-22,NEEM,2022-10,4.9995,27.6123,-1.2330,-0.6337,7.2670,-0.1022,0.0999,-0.0015
2022-10-18-23,MIX_NH,2022-10,4.9957,27.5422,16.2067,8.4529,24.7603,-0.1588,0.2123,-0.0022
2022-10-25-24,OC4,2022-10,4.9991,27.6427,-22.8753,-12.1155,-14.4418,-0.1323,0.0667,-0.0007
2022-10-25-25,NEEM,2022-10,4.9989,27.5867,-1.2272,-0.6323,7.2728,-0.1038,0.1057,-0.0031
2022-10-25-26,MIX_ONH,2022-10,4.9989,27.5968,10.5916,5.4799,19.1279,-0.1958,-0.1456,-0.0005
2022-10-25-27,MIX_OH,2022-10,4.9959,27.5825,5.0096,2.5173,13.5288,-0.2323,-0.2450,-0.0004
2022-10-25-29,HAWAI,2022-10,4.9957,27.5364,33.3660,17.4069,41.9724,-0.1300,0.0348,0.0069
2022-10-25-30,MIX_OH,2022-10,4.9994,27.6015,5.0642,2.5475,13.5835,-0.2307,-0.1902,0.0012
2022-10-25-31,MIX_ONH,2022-10,4.9982,27.5657,10.5815,5.4744,19.1178,-0.1960,-0.1557,-0.0007
2022-10-25-32,HAWAI,2022-10,4.9975,27.5494,33.3396,17.3902,41.9458,-0.1329,0.0082,0.0040
2022-10-25-33,OC4,2022-10,4.9983,27.6790,-22.9900,-12.1797,-14.5568,-0.1355,-0.0484,-0.0040
2022-10-25-34,NEEM,2022-10,4.9956,27.5808,-1.2153,-0.6165,7.2848,-0.0944,0.1177,0.0064