Sample,N,d13C_VPDB,SD_d13C_VPDB,SE_d13C_VPDB,95CL_d13C_VPDB,d18O_VPDB,SD_d18O_VPDB,SE_d18O_VPDB,95CL_d18O_VPDB,d18O_VSMOW,SD_d18O_VSMOW,SE_d18O_VSMOW,95CL_d18O_VSMOW,d17O_VSMOW,SD_d17O_VSMOW,SE_d17O_VSMOW,95CL_d17O_VSMOW,D17O_VSMOW,SD_D17O_VSMOW,SE_D17O_VSMOW,95CL_D17O_VSMOW
GRESP,6,-3.659,0.025,0.032,0.065,-31.581,0.033,0.074,0.146,6.7501,0.0333,0.0290,0.0575,3.4544,0.0248,0.0154,0.0306,-0.1037,0.0120,0.0033,0.0066
IAEA603,26,2.460,0.025,-,-,-2.370,0.086,-,-,36.8313,0.0940,0.0155,0.0308,19.1511,0.0507,0.0082,0.0162,-0.1273,0.0068,0.0018,0.0036
IAEA610,6,-9.109,0.109,-,-,-18.817,0.067,0.055,0.109,19.9253,0.0648,0.0262,0.0519,10.4017,0.0372,0.0138,0.0275,-0.0691,0.0062,0.0030,0.0060
IAEA611,6,-30.795,0.048,-,-,-4.285,0.098,0.053,0.106,34.9257,0.1037,0.0277,0.0549,18.1935,0.0544,0.0146,0.0289,-0.0961,0.0049,0.0032,0.0064
IAEA612,6,-36.722,0.017,-,-,-12.079,0.053,0.052,0.103,26.8800,0.0509,0.0266,0.0528,14.0282,0.0214,0.0140,0.0279,-0.0746,0.0065,0.0031,0.0061
NBS18,23,-5.035,0.087,0.034,0.068,-23.010,0.160,-,-,15.5719,0.1859,0.0143,0.0285,8.0898,0.1002,0.0076,0.0151,-0.1013,0.0108,0.0017,0.0033
NBS19,4,1.950,0.044,-,-,-2.200,0.003,-,-,37.1991,0.0101,0.0332,0.0658,19.3389,0.0049,0.0174,0.0346,-0.1304,0.0033,0.0038,0.0076
SLAP2_x208,5,-,-,-,-,-53.828,0.131,0.113,0.225,-15.9328,0.0683,-,-,-8.5867,0.0416,-,-,-0.1435,0.0060,-,-
SLAP2_x222,3,-,-,-,-,-53.631,0.051,0.105,0.209,-15.9582,0.0428,-,-,-8.5999,0.0223,-,-,-0.1431,0.0025,-,-
SLAP2_x340,1,-,-,-,-,-53.413,nan,0.168,0.334,-16.0898,0.0000,-,-,-8.6681,0.0000,-,-,-0.1413,0.0000,-,-
SLAP2_x347,2,-,-,-,-,-53.482,0.021,0.149,0.297,-16.0948,0.0153,-,-,-8.6707,0.0102,-,-,-0.1413,0.0021,-,-
SLAP2_x387,1,-,-,-,-,-53.534,nan,0.168,0.334,-16.1200,0.0000,-,-,-8.6837,0.0000,-,-,-0.1409,0.0000,-,-
SLAP2_x416,11,-3.591,0.038,0.030,0.061,-53.756,0.068,0.096,0.191,-16.1353,0.0477,-,-,-8.6916,0.0241,-,-,-0.1407,0.0052,-,-
SLAP2_x450,1,-,-,-,-,-53.538,nan,0.168,0.334,-16.1506,0.0000,-,-,-8.6996,0.0000,-,-,-0.1405,0.0000,-,-
VSMOW2_x208,7,-,-,-,-,1.952,0.037,0.058,0.115,41.2953,0.0355,-,-,21.4567,0.0204,-,-,-0.1360,0.0063,-,-
VSMOW2_x222,2,-,-,-,-,2.075,0.028,0.086,0.172,41.3057,0.0204,-,-,21.4619,0.0085,-,-,-0.1361,0.0020,-,-
VSMOW2_x292,1,-,-,-,-,1.980,nan,0.122,0.242,41.3428,0.0000,-,-,21.4807,0.0000,-,-,-0.1365,0.0000,-,-
VSMOW2_x340,1,-,-,-,-,1.991,nan,0.122,0.242,41.3594,0.0000,-,-,21.4891,0.0000,-,-,-0.1367,0.0000,-,-
VSMOW2_x347,1,-,-,-,-,2.011,nan,0.122,0.242,41.3614,0.0000,-,-,21.4902,0.0000,-,-,-0.1368,0.0000,-,-
VSMOW2_x416,9,-3.731,0.042,0.031,0.063,1.966,0.052,0.054,0.107,41.3779,0.0466,-,-,21.4985,0.0254,-,-,-0.1369,0.0095,-,-
VSMOW2_x438,1,-,-,-,-,1.998,nan,0.122,0.242,41.3821,0.0000,-,-,21.5007,0.0000,-,-,-0.1370,0.0000,-,-
VSMOW2_x450,1,-,-,-,-,2.049,nan,0.122,0.242,41.3842,0.0000,-,-,21.5017,0.0000,-,-,-0.1370,0.0000,-,-