Sample,Type,D17O_VSMOW_predicted,N,d18O_VSMOW,SD_d18O_VSMOW,95CL_d18O_VSMOW,D17O_VSMOW,SD_D17O_VSMOW,95CL_D17O_VSMOW,d13C_VPDB,SD_d13C_VPDB,95CL_d13C_VPDB,d18O_VPDB,SD_d18O_VPDB,95CL_d18O_VPDB
VSMOW2-CO2,W,-0.1365,23,41.34*,0.04,,-0.1365*,0.0080,,,,,,,
SLAP2-CO2,W,-0.1417,24,-16.07*,0.05,,-0.1417*,0.0050,,,,,,,
HAWAI-CO2,W,-0.1369,5,41.94*,0.07,,-0.1369*,0.0046,,,,,,,
OC4-CO2,W,-0.1316,6,-14.51*,0.04,,-0.1316*,0.0052,,,,,,,
NEEM-CO2,W,-0.1008,6,7.17,0.30,0.22,-0.1008,0.0033,0.0030,,,,,,
MIX-NH-CO2,W,-0.1546,4,24.55,0.28,0.26,-0.1566,0.0029,0.0036,,,,,,
MIX-ONH-CO2,W,-0.1962,5,19.27,0.26,0.24,-0.1953,0.0034,0.0034,,,,,,
MIX-OH-CO2,W,-0.2309,6,13.77,0.26,0.22,-0.2319,0.0035,0.0032,,,,,,
GRESP-CO2,W,,6,6.75,0.03,0.06,-0.1037,0.0120,0.0066,,,,,,
NBS18-CO2,C,,23,15.57,0.19,0.03,-0.1013,0.0108,0.0033,-5.04,0.09,0.07,-23.01*,0.16,
NBS19-CO2,C,,4,37.20,0.01,0.07,-0.1304,0.0033,0.0076,1.95*,0.04,,-2.20*,0.00,
IAEA603-CO2,C,,26,36.83,0.09,0.03,-0.1273,0.0068,0.0036,2.46*,0.03,,-2.37*,0.09,
IAEA610-CO2,C,,6,19.93,0.06,0.05,-0.0691,0.0062,0.0060,-9.109*,0.11,,-18.82,0.07,0.11
IAEA611-CO2,C,,6,34.93,0.10,0.05,-0.0961,0.0049,0.0064,-30.795*,0.05,,-4.29,0.10,0.11
IAEA612-CO2,C,,6,26.88,0.05,0.05,-0.0746,0.0065,0.0061,-36.722*,0.02,,-12.08,0.05,0.10